,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,EMA_200,EMA_50,EMA50,EMA200,RSI,CCI,MACD,Signal,DIplus,DIminus,ADX,MFI,BBr,cumdelta_rsi,ROC,stoch_rsi_k,stoch_rsi_d,ParabolicSAR_Signal,cross,result
55191,55191,1684262700,1.08555,1.08621,1.08549,1.08602,2551,5,382650000,1.08781,1.08713,1.08713,1.08781,43.69504,-66.27326,-0.0004709,-0.0004858,19.44216,20.89864,24.24672,42.58201,0.43423,44.60409,-0.08648,48.71888,48.20626,1,1,win
55210,55210,1684268400,1.08625,1.08669,1.08625,1.08653,1988,5,298200000,1.08759,1.0868,1.0868,1.08759,50.11329,2.28087,-4.16e-05,-4.68e-05,22.28438,21.06536,25.81532,50.34362,0.52714,58.30433,-0.00276,16.3862,6.73736,1,1,loss
55224,55224,1684272600,1.08677,1.08692,1.0867,1.08688,1832,5,274800000,1.08747,1.08674,1.08674,1.08747,57.52784,100.2045,2.67e-05,7.8e-06,26.26778,13.68672,19.21423,56.16016,0.94506,55.09417,-0.00368,66.18892,41.9924,0,1,loss
55251,55251,1684280700,1.08615,1.08619,1.08613,1.08618,843,19,126450000,1.08721,1.08645,1.08645,1.08721,45.51309,-28.01377,-0.0001252,-0.0001326,24.35822,14.78387,27.65637,50.49805,0.44524,49.73416,0.02579,89.32685,75.84948,1,1,win
55316,55316,1684300200,1.0869,1.08706,1.0869,1.08705,1447,13,217050000,1.08685,1.0866,1.0866,1.08685,61.71592,95.17289,9.58e-05,8.53e-05,36.26473,18.57883,25.45043,59.99687,0.72109,59.786,0.01104,67.5828,57.76321,0,1,loss
55345,55345,1684308900,1.08657,1.08667,1.08655,1.08663,1006,13,150900000,1.08682,1.08665,1.08665,1.08682,49.7605,-1.78952,-8.79e-05,-9.45e-05,24.2637,17.55428,28.70833,47.71387,0.50912,47.94233,0.00276,92.03987,80.37079,0,1,loss
55367,55367,1684315500,1.08571,1.08605,1.08571,1.08595,2251,5,337650000,1.08664,1.08617,1.08617,1.08664,50.64193,5.42965,-0.0002628,-0.0002818,27.12783,16.67912,44.18805,46.17778,0.54152,51.31462,0.00092,87.52451,64.3181,0,1,loss
55391,55391,1684322700,1.08396,1.08433,1.08381,1.08427,2441,5,366150000,1.08621,1.08511,1.08511,1.08621,45.03952,-24.99044,-0.0005003,-0.0005429,23.67597,17.23999,24.25357,42.10385,0.46114,50.1893,-0.00738,73.03048,57.00797,0,1,loss
55404,55404,1684326600,1.08265,1.08321,1.08254,1.08308,2320,5,348000000,1.08583,1.08426,1.08426,1.08583,42.93768,-42.72383,-0.0005718,-0.0005746,24.58607,21.9787,29.21939,49.05481,0.43585,47.20769,-0.10514,52.14426,35.62127,1,1,win
55446,55446,1684339200,1.08232,1.08311,1.08232,1.08311,2615,5,392250000,1.08482,1.08309,1.08309,1.08482,53.49136,-4.88069,-0.0001689,-0.0001905,17.41397,13.63112,20.78462,42.80092,0.59637,53.84714,0.03879,80.70895,59.78783,0,1,loss
